,total,aurelionsol,gragas,karma,ksante,leblanc,lissandra,orianna,sylas,xayah,yasuo
ahri,"[1, 4, 25.0, 36.36]","[0, 2, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]"
akali,"[1, 1, 100.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
akshan,"[0, 1, 0.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
annie,"[0, 1, 0.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
jax,"[1, 1, 100.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]"
jayce,"[0, 1, 0.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
ksante,"[1, 1, 100.0, 9.09]","[0, 0, 0, 0.0]","[1, 1, 100.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
yasuo,"[0, 1, 0.0, 9.09]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 1, 0.0, 100.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]","[0, 0, 0, 0.0]"
