,top,name,tier,position,winRate,pickRate,banRate
154,155,Brand,4,SUPPORT,50.68,1.37,0.19
155,156,Pantheon,4,MID,50.56,1.49,0.26
156,157,Shen,4,TOP,50.56,1.44,0.07
157,158,Veigar,4,MID,50.55,1.10,0.08
158,159,Akshan,4,TOP,50.53,0.61,1.35
159,160,Heimerdinger,4,TOP,50.52,0.58,0.54
160,161,Zac,4,SUPPORT,50.43,1.08,0.15
161,162,Kassadin,4,MID,50.43,1.25,0.35
162,163,Sona,4,SUPPORT,50.28,0.90,0.02
163,164,Rell,4,JUNGLE,50.23,0.62,0.59
164,165,Zac,4,TOP,50.18,1.58,0.23
165,166,Zed,4,TOP,50.11,0.64,1.55
166,167,Corki,4,MID,50.10,1.08,0.04
167,168,Diana,4,MID,49.93,1.32,0.05
168,169,Ekko,4,MID,49.90,1.96,0.30
169,170,Twitch,4,SUPPORT,49.83,0.72,0.10
170,171,Twitch,4,ADC,49.79,1.78,0.25
171,172,Sett,4,TOP,49.74,2.29,0.14
172,173,Vladimir,4,TOP,49.67,1.13,0.10
173,174,Malzahar,4,MID,49.58,1.45,0.26
174,175,Vladimir,4,MID,49.58,1.73,0.16
175,176,Volibear,4,TOP,49.56,3.28,0.74
176,177,Gragas,4,TOP,49.54,1.48,0.14
177,178,Sivir,4,ADC,49.52,2.90,1.14
178,179,Vayne,4,TOP,49.48,1.21,0.52
179,180,Udyr,4,JUNGLE,49.48,0.92,0.08
180,181,Rengar,4,JUNGLE,49.47,0.92,0.44
181,182,Viktor,4,MID,49.45,3.43,0.76
182,183,Garen,4,TOP,49.43,3.04,0.75
183,184,Teemo,4,TOP,49.38,1.26,0.82
184,185,Kennen,4,TOP,49.27,2.09,1.12
185,186,Lillia,4,JUNGLE,49.10,1.63,0.30
186,187,Morgana,4,SUPPORT,49.04,2.98,5.07
187,188,Heimerdinger,4,SUPPORT,49.01,1.61,1.48
188,189,Nami,4,SUPPORT,48.96,2.35,0.08
189,190,Swain,4,SUPPORT,48.74,1.47,0.24
190,191,Mordekaiser,4,TOP,48.57,2.15,0.29
191,192,Sejuani,4,JUNGLE,48.09,2.01,0.07
192,193,Azir,4,MID,48.01,4.97,0.92
193,194,Aphelios,4,ADC,47.80,7.16,0.40
194,195,Diana,4,JUNGLE,47.65,1.90,0.07
195,196,Lulu,4,SUPPORT,47.47,4.75,0.58
196,197,Vi,4,JUNGLE,47.46,4.39,0.70
197,198,Sylas,4,JUNGLE,47.37,3.61,6.37
198,199,Yuumi,4,SUPPORT,47.33,5.96,1.81
199,200,Malphite,5,MID,50.09,0.57,0.85
200,201,Tristana,5,MID,49.93,0.75,0.06
201,202,Gangplank,5,MID,49.58,0.56,0.45
202,203,Lux,5,MID,49.37,0.93,0.12
203,204,Amumu,5,SUPPORT,49.06,0.77,0.02
204,205,Brand,5,MID,48.94,0.64,0.09
205,206,Tahm Kench,5,SUPPORT,48.51,0.52,0.06
206,207,Wukong,5,TOP,48.05,0.58,0.03
207,208,Pantheon,5,SUPPORT,48.05,1.04,0.18
208,209,Ryze,5,MID,47.91,1.09,0.06
209,210,Yasuo,5,TOP,47.81,1.82,2.20
210,211,Seraphine,5,SUPPORT,47.77,1.39,0.06
211,212,Sion,5,TOP,47.75,2.04,0.09
212,213,Gwen,5,JUNGLE,47.70,0.56,0.19
213,214,Qiyana,5,JUNGLE,47.25,0.60,0.10
214,215,Zeri,5,ADC,47.13,3.48,0.25
215,216,Dr. Mundo,5,TOP,46.88,1.77,0.09
216,217,Akali,5,TOP,46.78,3.28,3.57
217,218,Ryze,5,TOP,46.72,0.58,0.03
218,219,Yorick,5,TOP,46.67,0.97,0.55
219,220,Amumu,5,JUNGLE,46.55,0.64,0.02
220,221,Sylas,5,TOP,46.34,1.54,2.68
221,222,Wukong,5,JUNGLE,44.83,1.13,0.05
222,223,Hwei,5,MID,42.44,8.21,23.32
223,224,Hwei,5,SUPPORT,40.20,1.76,4.94
