,top,name,tier,position,winRate,pickRate,banRate
115,116,Renekton,4,MID,52.43,0.71,0.57
116,117,Sett,4,MID,52.41,0.66,0.17
117,118,Heimerdinger,4,SUPPORT,52.33,1.48,0.93
118,119,Swain,4,MID,52.32,0.79,0.36
119,120,Aurelion Sol,4,MID,52.18,0.94,0.14
120,121,Maokai,4,SUPPORT,52.09,1.80,0.21
121,122,Taric,4,SUPPORT,52.09,0.53,0.07
122,123,Maokai,4,TOP,52.09,0.78,0.09
123,124,Poppy,4,TOP,51.92,0.99,0.55
124,125,Diana,4,MID,51.85,1.56,0.13
125,126,Rumble,4,MID,51.68,0.92,0.45
126,127,Akshan,4,MID,51.65,1.45,1.58
127,128,LeBlanc,4,SUPPORT,51.58,1.09,2.52
128,129,Braum,4,SUPPORT,51.56,1.56,0.17
129,130,Brand,4,MID,51.39,1.24,0.45
130,131,Zilean,4,SUPPORT,51.34,1.54,0.24
131,132,Galio,4,MID,51.31,2.00,0.30
132,133,Teemo,4,SUPPORT,51.20,1.17,1.53
133,134,Tahm Kench,4,TOP,51.13,1.88,0.40
134,135,Amumu,4,SUPPORT,51.10,1.22,0.10
135,136,Fiddlesticks,4,SUPPORT,51.09,0.71,0.17
136,137,Corki,4,MID,51.06,0.71,0.04
137,138,Kassadin,4,MID,51.00,1.01,0.23
138,139,Cassiopeia,4,MID,50.96,1.32,0.56
139,140,Tristana,4,MID,50.95,0.81,0.16
140,141,Quinn,4,TOP,50.88,1.48,2.29
141,142,Kled,4,TOP,50.84,0.76,0.25
142,143,Urgot,4,TOP,50.70,1.18,0.16
143,144,Lissandra,4,MID,50.70,1.76,0.43
144,145,Warwick,4,TOP,50.68,1.22,0.24
145,146,Janna,4,SUPPORT,50.65,2.33,0.25
146,147,Olaf,4,TOP,50.64,1.34,0.75
147,148,Malphite,4,MID,50.62,1.40,1.29
148,149,Camille,4,TOP,50.59,2.49,0.57
149,150,Ekko,4,MID,50.58,2.69,0.68
150,151,Rek'Sai,4,JUNGLE,50.52,0.74,0.80
151,152,Bard,4,SUPPORT,50.48,1.55,0.15
152,153,Annie,4,MID,50.48,0.95,0.15
153,154,Vel'Koz,4,SUPPORT,50.45,1.76,0.18
154,155,Gangplank,4,MID,50.37,0.52,0.35
155,156,Sona,4,SUPPORT,50.31,1.37,0.04
156,157,Vladimir,4,MID,50.29,1.57,0.35
157,158,Yorick,4,TOP,50.27,2.58,2.06
158,159,Renata Glasc,4,SUPPORT,50.24,1.94,0.77
