,top,name,tier,position,winRate,pickRate,banRate
113,114,Gangplank,3,TOP,49.89,2.09,1.50
114,115,Pyke,3,SUPPORT,49.86,6.65,9.58
115,116,Thresh,3,SUPPORT,49.85,8.10,3.53
116,117,Gnar,3,TOP,49.81,1.87,0.50
117,118,Lux,3,MID,49.79,3.01,2.64
118,119,Varus,3,ADC,49.77,10.24,2.43
119,120,Kayn,3,JUNGLE,49.72,8.01,2.44
120,121,Katarina,3,MID,49.66,3.12,1.54
121,122,Jinx,3,ADC,49.63,12.67,2.23
122,123,Viego,3,JUNGLE,49.50,6.97,1.16
123,124,Jayce,3,TOP,49.29,4.38,1.56
124,125,Renekton,3,TOP,49.22,3.46,2.91
125,126,Riven,3,TOP,48.96,2.88,0.49
126,127,Ahri,3,MID,48.91,8.19,2.14
127,128,Orianna,3,MID,48.80,7.90,12.77
128,129,Tryndamere,3,TOP,48.65,2.72,1.45
129,130,Yasuo,3,TOP,48.57,2.93,3.15
130,131,Zed,3,MID,48.51,6.65,21.04
131,132,Akali,3,TOP,48.45,3.89,3.31
132,133,Kai'Sa,3,ADC,48.09,18.35,2.82
133,134,Zac,4,SUPPORT,54.13,0.54,0.14
134,135,LeBlanc,4,SUPPORT,53.43,0.85,2.30
135,136,Taric,4,SUPPORT,52.84,0.55,0.08
136,137,Zilean,4,SUPPORT,52.62,1.26,0.22
137,138,Milio,4,SUPPORT,52.34,1.76,0.39
138,139,Amumu,4,SUPPORT,52.20,1.52,0.16
139,140,Fiddlesticks,4,SUPPORT,52.12,0.61,0.13
140,141,Elise,4,JUNGLE,51.69,1.40,1.08
141,142,Renata Glasc,4,SUPPORT,51.47,1.55,0.64
142,143,Annie,4,MID,51.38,0.90,0.18
143,144,Braum,4,SUPPORT,51.36,1.23,0.16
144,145,Vel'Koz,4,SUPPORT,51.26,1.83,0.21
145,146,Taliyah,4,JUNGLE,51.16,1.58,0.39
146,147,Heimerdinger,4,SUPPORT,51.04,1.52,1.06
147,148,Galio,4,SUPPORT,50.99,0.70,0.13
148,149,Lissandra,4,MID,50.95,1.30,0.36
149,150,Ziggs,4,SUPPORT,50.93,0.91,1.03
150,151,Sona,4,SUPPORT,50.89,1.70,0.05
151,152,Renekton,4,MID,50.71,0.75,0.63
152,153,Rell,4,SUPPORT,50.66,2.27,1.17
153,154,Talon,4,JUNGLE,50.62,2.07,1.03
154,155,Sejuani,4,JUNGLE,50.57,2.81,0.32
155,156,Janna,4,SUPPORT,50.55,1.65,0.18
156,157,Ryze,4,TOP,50.50,0.52,0.10
157,158,Tristana,4,MID,50.44,0.85,0.20
158,159,Karthus,4,JUNGLE,50.39,2.31,0.58
159,160,Rumble,4,MID,50.32,0.78,0.38
160,161,Nami,4,SUPPORT,50.27,2.13,0.20
161,162,Kassadin,4,MID,50.24,0.85,0.20
162,163,Morgana,4,MID,50.16,0.96,1.21
163,164,Maokai,4,JUNGLE,50.16,2.50,0.32
164,165,Cassiopeia,4,MID,50.09,1.25,0.59
165,166,Diana,4,JUNGLE,50.08,3.60,0.36
166,167,Akshan,4,MID,50.01,1.19,1.43
167,168,Bard,4,SUPPORT,49.86,1.20,0.14
168,169,Cho'Gath,4,TOP,49.72,1.11,0.07
169,170,Poppy,4,TOP,49.66,0.81,0.35
170,171,Kha'Zix,4,JUNGLE,49.58,3.93,1.01
171,172,Ryze,4,MID,49.57,1.46,0.29
172,173,Tristana,4,ADC,49.49,4.33,1.03
173,174,Jayce,4,MID,49.39,2.36,0.84
174,175,Aphelios,4,ADC,49.21,3.88,0.90
175,176,Xin Zhao,4,JUNGLE,49.07,2.60,0.33
176,177,Karma,4,SUPPORT,48.93,3.76,1.19
177,178,Malphite,4,SUPPORT,48.93,2.02,1.65
178,179,Draven,4,ADC,48.80,2.06,1.54
179,180,Jarvan IV,4,JUNGLE,48.75,4.71,1.41
180,181,Kennen,4,TOP,48.73,1.78,0.61
181,182,Pantheon,4,TOP,48.73,1.51,0.49
182,183,Shen,4,TOP,48.69,1.24,0.11
183,184,Xayah,4,ADC,48.69,6.51,2.85
184,185,Kalista,4,ADC,48.68,3.24,1.58
185,186,Ashe,4,SUPPORT,48.67,5.13,2.33
186,187,Seraphine,4,SUPPORT,48.59,3.88,0.35
187,188,Pantheon,4,SUPPORT,48.59,2.41,0.85
188,189,Camille,4,TOP,48.46,2.08,0.50
189,190,LeBlanc,4,MID,48.30,5.15,12.97
190,191,Lulu,4,SUPPORT,48.17,3.92,0.75
191,192,Azir,4,MID,47.89,3.10,0.85
192,193,Gwen,4,TOP,47.79,2.88,0.95
193,194,Rumble,4,TOP,47.04,2.61,1.26
194,195,Miss Fortune,4,SUPPORT,46.73,3.50,1.05
195,196,Yuumi,4,SUPPORT,46.65,5.87,2.65
