,top,name,tier,position,winRate,pickRate,banRate
112,113,Kalista,3,ADC,49.87,4.99,4.22
113,114,Sivir,3,ADC,49.82,3.50,1.50
114,115,Gwen,3,TOP,49.82,3.28,0.87
115,116,Kayn,3,JUNGLE,49.71,4.79,0.78
116,117,K'Sante,3,TOP,49.54,5.31,3.53
117,118,Morgana,3,SUPPORT,49.47,4.74,10.00
118,119,Master Yi,3,JUNGLE,49.47,3.89,1.98
119,120,Nidalee,3,JUNGLE,49.47,7.28,5.75
120,121,Zed,3,MID,49.43,6.25,16.21
121,122,Lux,3,SUPPORT,49.29,7.34,1.92
122,123,Syndra,3,MID,49.28,9.16,6.87
123,124,Xayah,3,ADC,49.20,9.15,4.00
124,125,Ashe,3,SUPPORT,49.03,6.52,4.16
125,126,LeBlanc,3,MID,48.91,6.13,12.30
126,127,Jarvan IV,3,JUNGLE,48.81,7.30,2.90
127,128,Karma,3,SUPPORT,48.67,8.36,3.54
128,129,Jayce,3,TOP,48.55,9.38,3.61
129,130,Sylas,3,JUNGLE,48.55,4.69,8.96
130,131,Kai'Sa,3,ADC,47.85,20.99,1.79
131,132,Yone,3,TOP,47.49,10.33,17.18
132,133,Swain,4,MID,52.83,0.71,0.17
133,134,Poppy,4,SUPPORT,52.76,0.59,0.66
134,135,Taliyah,4,MID,52.44,0.79,0.46
135,136,Naafiri,4,MID,52.42,0.90,1.57
136,137,Rumble,4,MID,52.26,1.08,0.80
137,138,Fiddlesticks,4,SUPPORT,51.98,0.74,0.28
138,139,Annie,4,MID,51.84,0.85,0.06
139,140,Renekton,4,MID,51.82,0.61,0.51
140,141,Zac,4,SUPPORT,51.68,1.21,0.22
141,142,Malphite,4,MID,51.43,0.91,1.27
142,143,Aurelion Sol,4,MID,51.39,1.26,0.12
143,144,Udyr,4,TOP,51.38,0.76,0.08
144,145,Cassiopeia,4,MID,51.36,1.52,0.49
145,146,Malzahar,4,MID,51.23,2.13,0.63
146,147,Kassadin,4,MID,51.19,1.36,0.34
147,148,Urgot,4,TOP,51.13,1.03,0.08
148,149,Diana,4,MID,50.97,1.42,0.07
149,150,Yasuo,4,ADC,50.90,0.98,1.10
150,151,Zoe,4,MID,50.89,2.26,0.70
151,152,Heimerdinger,4,SUPPORT,50.79,1.50,1.07
152,153,Pantheon,4,MID,50.77,1.54,0.35
153,154,Veigar,4,MID,50.73,1.67,0.15
154,155,Tahm Kench,4,TOP,50.61,1.24,0.18
155,156,Qiyana,4,MID,50.58,1.33,0.15
156,157,Vel'Koz,4,SUPPORT,50.45,1.32,0.07
157,158,Rell,4,JUNGLE,50.44,0.54,0.46
158,159,Vladimir,4,MID,50.42,1.59,0.17
159,160,Shen,4,TOP,50.41,1.31,0.07
160,161,Ekko,4,MID,50.33,2.36,0.41
161,162,LeBlanc,4,SUPPORT,50.31,1.20,2.35
162,163,Vayne,4,TOP,50.25,1.54,0.77
163,164,Rumble,4,JUNGLE,50.25,0.80,0.60
164,165,Amumu,4,SUPPORT,50.20,0.83,0.03
165,166,Udyr,4,JUNGLE,50.02,0.91,0.10
166,167,Tristana,4,ADC,50.00,1.64,0.16
167,168,Pantheon,4,TOP,49.99,1.77,0.40
168,169,Lillia,4,JUNGLE,49.94,1.87,0.32
169,170,Nilah,4,ADC,49.93,0.99,1.14
170,171,Sona,4,SUPPORT,49.89,0.87,0.02
171,172,Mordekaiser,4,TOP,49.78,2.36,0.58
172,173,Sejuani,4,JUNGLE,49.77,2.12,0.13
173,174,Swain,4,SUPPORT,49.75,2.32,0.55
174,175,Kennen,4,TOP,49.71,2.00,0.75
175,176,Kindred,4,JUNGLE,49.69,2.10,0.84
176,177,Xin Zhao,4,JUNGLE,49.66,2.14,0.13
177,178,Lux,4,MID,49.66,1.46,0.39
178,179,Teemo,4,TOP,49.63,2.27,1.96
179,180,Rengar,4,JUNGLE,49.52,0.94,0.25
180,181,Seraphine,4,SUPPORT,49.29,1.60,0.09
181,182,Gangplank,4,TOP,49.23,4.13,3.30
182,183,Rumble,4,TOP,49.16,3.02,2.21
183,184,Jayce,4,MID,48.98,3.67,1.43
184,185,Nami,4,SUPPORT,48.92,2.61,0.11
185,186,Diana,4,JUNGLE,48.89,2.50,0.12
186,187,Viego,4,JUNGLE,48.72,5.84,0.51
187,188,Azir,4,MID,48.65,4.64,0.79
188,189,Hecarim,4,JUNGLE,48.58,3.12,0.38
189,190,Vi,4,JUNGLE,48.38,4.64,0.84
190,191,Aphelios,4,ADC,47.84,5.98,0.65
191,192,Yuumi,4,SUPPORT,47.82,4.78,1.66
192,193,Lulu,4,SUPPORT,47.60,5.30,1.02
193,194,Ryze,5,TOP,50.46,0.58,0.06
194,195,Brand,5,MID,50.40,0.79,0.15
195,196,Gangplank,5,MID,50.36,0.61,0.49
196,197,Vladimir,5,TOP,49.71,0.88,0.09
197,198,Zed,5,TOP,49.60,0.70,1.79
198,199,Wukong,5,TOP,49.60,0.52,0.03
199,200,Nunu & Willump,5,MID,49.48,0.74,0.11
200,201,Heimerdinger,5,TOP,49.47,0.55,0.40
201,202,Gwen,5,JUNGLE,49.31,0.61,0.17
202,203,Tryndamere,5,TOP,49.07,1.75,1.12
203,204,Gragas,5,TOP,49.04,1.00,0.10
204,205,Tristana,5,MID,49.01,0.56,0.06
205,206,Corki,5,MID,49.00,0.99,0.03
206,207,Tahm Kench,5,SUPPORT,48.94,0.65,0.09
207,208,Cho'Gath,5,TOP,48.77,0.60,0.02
208,209,Amumu,5,JUNGLE,48.74,1.25,0.04
209,210,Sylas,5,TOP,48.67,1.56,2.93
210,211,Twitch,5,SUPPORT,48.64,0.71,0.12
211,212,Ryze,5,MID,48.52,1.24,0.12
212,213,Yorick,5,TOP,48.46,1.52,1.02
213,214,Yasuo,5,TOP,48.38,1.95,2.15
214,215,Sion,5,TOP,48.38,2.16,0.13
215,216,Shyvana,5,JUNGLE,48.17,0.93,0.06
216,217,Zed,5,JUNGLE,47.89,0.54,1.40
217,218,Akali,5,TOP,47.79,3.50,3.72
218,219,Wukong,5,JUNGLE,47.06,1.26,0.08
219,220,Pantheon,5,SUPPORT,46.63,1.44,0.32
220,221,Teemo,5,JUNGLE,46.40,0.64,0.56
221,222,Zeri,5,ADC,46.24,2.86,0.22
222,223,Miss Fortune,5,SUPPORT,42.45,0.67,0.05
223,224,Hwei,5,MID,41.51,7.76,22.15
224,225,Hwei,5,SUPPORT,41.13,2.54,7.04
