,top,name,tier,position,winRate,pickRate,banRate
160,161,LeBlanc,4,SUPPORT,50.12,1.14,2.38
161,162,Amumu,4,JUNGLE,50.08,1.94,0.10
162,163,Gragas,4,JUNGLE,50.06,2.98,0.32
163,164,Swain,4,SUPPORT,49.96,2.74,0.91
164,165,Sion,4,TOP,49.92,2.13,0.14
165,166,Qiyana,4,MID,49.89,1.13,0.11
166,167,Yorick,4,TOP,49.85,2.05,1.51
167,168,Tristana,4,MID,49.81,0.63,0.07
168,169,Kayn,4,JUNGLE,49.79,5.59,1.05
169,170,Twitch,4,SUPPORT,49.58,0.71,0.15
170,171,Kennen,4,TOP,49.57,2.03,0.66
171,172,Morgana,4,MID,49.43,0.59,1.15
172,173,Tryndamere,4,TOP,49.34,2.00,1.23
173,174,Seraphine,4,SUPPORT,49.32,2.08,0.14
174,175,Xayah,4,ADC,49.28,8.62,3.63
175,176,Jarvan IV,4,JUNGLE,49.26,6.91,2.66
176,177,Nami,4,SUPPORT,49.25,2.76,0.13
177,178,Viego,4,JUNGLE,49.25,6.01,0.67
178,179,Ryze,4,MID,49.24,1.43,0.16
179,180,Vi,4,JUNGLE,49.19,4.82,0.88
180,181,Gwen,4,TOP,49.17,3.26,0.92
181,182,Rumble,4,TOP,49.08,2.79,1.64
182,183,K'Sante,4,TOP,49.05,4.30,3.30
183,184,Sylas,4,TOP,49.00,1.62,3.07
184,185,Nidalee,4,JUNGLE,48.88,6.13,3.89
185,186,Sylas,4,JUNGLE,48.78,5.31,10.16
186,187,Ashe,4,SUPPORT,48.62,6.13,3.32
187,188,Akali,4,TOP,48.53,3.74,3.75
188,189,Pantheon,4,SUPPORT,48.40,1.67,0.45
189,190,Kai'Sa,4,ADC,48.11,20.61,2.04
190,191,Lulu,4,SUPPORT,47.91,5.59,1.15
191,192,Yuumi,4,SUPPORT,47.83,5.05,1.75
192,193,Kog'Maw,5,ADC,51.44,0.79,0.09
193,194,Rumble,5,JUNGLE,50.37,0.79,0.47
194,195,Nilah,5,ADC,50.24,0.98,1.09
195,196,Vladimir,5,TOP,50.12,0.78,0.11
196,197,Sivir,5,ADC,50.08,3.67,1.51
197,198,Draven,5,ADC,50.08,3.07,2.35
198,199,Rengar,5,TOP,49.86,1.20,0.26
199,200,Zed,5,TOP,49.76,0.74,2.12
200,201,Kalista,5,ADC,49.63,4.14,2.60
201,202,Cho'Gath,5,TOP,49.62,0.77,0.04
202,203,Udyr,5,JUNGLE,49.58,1.00,0.12
203,204,Sejuani,5,JUNGLE,49.56,2.53,0.18
204,205,Gwen,5,JUNGLE,49.53,0.55,0.16
205,206,Kindred,5,JUNGLE,49.50,2.21,0.85
206,207,Tristana,5,ADC,49.50,2.11,0.24
207,208,Pantheon,5,TOP,49.44,1.53,0.41
208,209,Ryze,5,TOP,49.26,0.57,0.06
209,210,Teemo,5,JUNGLE,49.23,1.06,1.18
210,211,Diana,5,JUNGLE,49.06,3.13,0.18
211,212,Ziggs,5,MID,48.76,0.51,0.84
212,213,Gragas,5,TOP,48.65,0.78,0.08
213,214,Rell,5,JUNGLE,48.59,0.52,0.40
214,215,Rengar,5,JUNGLE,48.58,0.86,0.19
215,216,Yasuo,5,TOP,48.44,2.09,2.34
216,217,Aphelios,5,ADC,47.98,4.93,0.76
217,218,Hecarim,5,JUNGLE,47.86,2.49,0.31
218,219,Wukong,5,JUNGLE,47.26,1.40,0.10
219,220,Zed,5,JUNGLE,47.24,0.54,1.56
220,221,Zeri,5,ADC,47.11,2.61,0.28
221,222,Veigar,5,SUPPORT,47.07,0.62,0.07
222,223,Miss Fortune,5,SUPPORT,43.34,1.25,0.14
223,224,Hwei,5,MID,41.62,7.50,19.86
224,225,Hwei,5,SUPPORT,40.53,2.63,6.90
