,top,name,tier,position,winRate,pickRate,banRate
147,148,Tristana,4,MID,52.14,0.75,0.12
148,149,Rumble,4,MID,51.82,0.94,0.50
149,150,Sett,4,MID,51.78,0.53,0.11
150,151,Renekton,4,MID,51.52,0.63,0.52
151,152,Diana,4,MID,51.35,1.55,0.11
152,153,Kassadin,4,MID,51.34,1.12,0.26
153,154,Corki,4,MID,51.25,0.84,0.04
154,155,Brand,4,MID,51.23,1.08,0.35
155,156,Malphite,4,MID,51.22,1.29,1.37
156,157,LeBlanc,4,SUPPORT,50.91,1.04,2.19
157,158,Cassiopeia,4,MID,50.91,1.33,0.51
158,159,Rengar,4,TOP,50.72,1.01,0.23
159,160,Rek'Sai,4,JUNGLE,50.72,0.97,0.96
160,161,Amumu,4,SUPPORT,50.60,1.04,0.07
161,162,Aurelion Sol,4,MID,50.58,0.99,0.14
162,163,Nunu & Willump,4,MID,50.50,0.65,0.13
163,164,Vel'Koz,4,SUPPORT,50.46,1.66,0.14
164,165,Morgana,4,MID,50.41,0.72,1.37
165,166,Heimerdinger,4,TOP,50.31,0.78,0.49
166,167,Sona,4,SUPPORT,50.20,1.20,0.03
167,168,Teemo,4,SUPPORT,50.19,0.74,0.87
168,169,Pantheon,4,MID,50.18,2.09,0.60
169,170,Vladimir,4,TOP,50.13,0.80,0.12
170,171,Shen,4,TOP,50.11,1.38,0.09
171,172,Lissandra,4,MID,50.10,2.34,0.51
172,173,Zed,4,TOP,50.06,0.64,1.98
173,174,Vladimir,4,MID,50.05,1.74,0.27
174,175,Gangplank,4,MID,50.02,0.58,0.40
175,176,Teemo,4,JUNGLE,50.00,1.56,1.88
176,177,Jayce,4,MID,49.97,3.07,0.93
177,178,Lux,4,MID,49.96,2.22,1.43
178,179,Pantheon,4,TOP,49.81,1.53,0.44
179,180,Zoe,4,MID,49.81,1.73,0.45
180,181,Cho'Gath,4,TOP,49.79,0.90,0.05
181,182,Rumble,4,JUNGLE,49.79,0.74,0.38
182,183,Ryze,4,TOP,49.69,0.56,0.07
183,184,Kennen,4,TOP,49.68,1.90,0.62
184,185,Twitch,4,SUPPORT,49.61,0.78,0.19
185,186,Gnar,4,TOP,49.55,2.66,0.56
186,187,Gragas,4,JUNGLE,49.53,2.53,0.30
187,188,Udyr,4,JUNGLE,49.51,0.90,0.14
188,189,Xin Zhao,4,JUNGLE,49.42,2.22,0.21
189,190,Ryze,4,MID,49.36,1.45,0.19
190,191,Tristana,4,ADC,49.36,2.54,0.39
191,192,Nunu & Willump,4,JUNGLE,49.35,2.03,0.38
192,193,Amumu,4,JUNGLE,49.23,2.60,0.17
193,194,Renekton,4,TOP,49.20,3.46,2.85
194,195,Qiyana,4,MID,49.18,1.07,0.10
195,196,Gwen,4,TOP,49.02,3.23,0.95
196,197,Sion,4,TOP,49.00,1.94,0.16
197,198,Sejuani,4,JUNGLE,48.90,2.71,0.22
198,199,Rumble,4,TOP,48.73,2.72,1.46
199,200,Kindred,4,JUNGLE,48.68,2.26,0.85
200,201,Seraphine,4,SUPPORT,48.57,2.37,0.17
201,202,Aphelios,4,ADC,48.55,4.34,0.79
202,203,Tryndamere,4,TOP,48.49,2.22,1.35
203,204,Akali,4,TOP,48.40,3.72,3.61
204,205,Azir,4,MID,48.35,3.90,0.72
205,206,Sylas,4,TOP,48.24,1.58,2.90
