championName,bestDuo1,bestDuo2,bestDuo3,bestDuo4,bestDuo5,bestDuo6
Karma,"['Hwei', '64.7%']","['Pantheon', '55.1%']","['Swain', '51.8%']","['Renata Glasc', '51.4%']","['Seraphine', '51.3%']","['Alistar', '51.3%']"
Dr. Mundo,"['Yasuo', '59.4%']","['Kennen', '59.0%']","[""Cho'Gath"", '58.6%']","['Quinn', '58.5%']","['Teemo', '57.0%']","['Jayce', '56.9%']"
Mordekaiser,"['Zac', '60.6%']","[""Cho'Gath"", '57.0%']","['Teemo', '55.2%']","['Illaoi', '54.8%']","['Kennen', '54.6%']","['Shen', '54.3%']"
Shaco,"['Wukong', '58.0%']","['Warwick', '55.8%']","['Rammus', '55.4%']","['Elise', '54.8%']","['Jax', '54.4%']","['Master Yi', '53.8%']"
Akshan,"['Hwei', '66.2%']","['Taliyah', '61.5%']","[""Vel'Koz"", '57.8%']","['Zed', '57.2%']","['Viktor', '56.2%']","['Ahri', '55.7%']"
Nidalee,"['Wukong', '53.4%']","[""Kha'Zix"", '52.9%']","['Brand', '52.5%']","['Sylas', '52.1%']","['Karthus', '51.5%']","['Jarvan IV', '51.4%']"
Draven,"['Zeri', '54.9%']","['Sivir', '54.5%']","[""Kai'Sa"", '53.5%']","['Aphelios', '52.8%']","['Xayah', '52.3%']","['Tristana', '52.1%']"
Azir,"['Hwei', '62.4%']","['Pantheon', '53.2%']","['Malzahar', '53.1%']","['Yasuo', '52.3%']","['Swain', '51.6%']","[""Vel'Koz"", '50.2%']"
Zoe,"['Hwei', '63.7%']","['Cassiopeia', '56.9%']","['Diana', '56.3%']","['Katarina', '54.2%']","['Zed', '54.2%']","[""Vel'Koz"", '53.8%']"
Diana,"['Wukong', '55.9%']","['Zed', '55.5%']","['Elise', '54.6%']","['Lillia', '53.4%']","['Nunu & Willump', '53.4%']","['Sejuani', '52.9%']"
Nami,"['Hwei', '67.4%']","['Pantheon', '55.4%']","['Swain', '55.2%']","['Neeko', '55.2%']","['Yuumi', '54.5%']","['Taric', '54.3%']"
Katarina,"['Hwei', '67.6%']","['Taliyah', '55.1%']","['Ziggs', '54.9%']","['Veigar', '53.9%']","['Syndra', '53.2%']","['Lux', '52.7%']"
Twitch,"['Aphelios', '55.7%']","['Sivir', '55.3%']","['Zeri', '54.3%']","[""Kai'Sa"", '53.1%']","['Jinx', '53.0%']","[""Kog'Maw"", '53.0%']"
Qiyana,"['Hwei', '65.3%']","['Azir', '57.8%']","['Aurelion Sol', '56.7%']","['Naafiri', '55.0%']","['Zed', '54.7%']","['Annie', '54.0%']"
Renekton,"['Yasuo', '54.7%']","['Akali', '53.4%']","['Yone', '53.3%']","['Yorick', '52.6%']","['Irelia', '52.5%']","['Jayce', '52.2%']"
Bel'Veth,"['Sejuani', '55.6%']","['Karthus', '54.3%']","['Diana', '54.2%']","['Wukong', '53.8%']","['Sylas', '53.5%']","['Jarvan IV', '53.2%']"
Aphelios,"['Sivir', '51.4%']","['Zeri', '51.3%']","[""Kai'Sa"", '50.5%']","['Kalista', '49.4%']","['Xayah', '49.0%']","['Vayne', '48.3%']"
Lucian,"['Aphelios', '54.4%']","['Zeri', '54.0%']","[""Kai'Sa"", '52.8%']","['Yasuo', '52.1%']","['Xayah', '51.9%']","['Jinx', '51.8%']"
Viego,"['Wukong', '54.2%']","['Sylas', '52.8%']","['Sejuani', '52.6%']","['Xin Zhao', '52.4%']","['Warwick', '52.1%']","['Trundle', '51.7%']"
Cassiopeia,"['Swain', '63.4%']","['Hwei', '62.9%']","['Diana', '58.7%']","['Katarina', '55.8%']","['Azir', '54.6%']","['Vex', '54.5%']"
Singed,"['Yasuo', '60.9%']","['Akali', '60.6%']","['Gwen', '58.0%']","['Gragas', '56.4%']","['Kayle', '56.3%']","['Quinn', '56.2%']"
Fizz,"['Hwei', '68.1%']","['Brand', '61.3%']","[""Vel'Koz"", '59.5%']","['Aurelion Sol', '56.7%']","['Xerath', '55.5%']","['Syndra', '55.4%']"
Vladimir,"['Hwei', '63.3%']","['Vex', '56.6%']","['Katarina', '55.8%']","['Yasuo', '55.6%']","['Zed', '54.6%']","['LeBlanc', '54.4%']"
Kog'Maw,"['Zeri', '60.5%']","['Kalista', '57.1%']","['Swain', '56.5%']","[""Kai'Sa"", '54.6%']","['Xayah', '53.9%']","['Miss Fortune', '53.6%']"
Sett,"['Yorick', '56.2%']","['Sylas', '55.9%']","['Jayce', '55.6%']","['Varus', '55.5%']","['Teemo', '55.3%']","['Irelia', '55.1%']"
Sona,"['Hwei', '70.4%']","['Neeko', '63.6%']","[""Vel'Koz"", '58.9%']","['Maokai', '57.0%']","['Karma', '56.9%']","['Sylas', '56.5%']"
Kayn,"['Sejuani', '56.1%']","['Shyvana', '53.9%']","['Jax', '53.5%']","['Karthus', '53.1%']","['Warwick', '52.9%']","['Zac', '52.8%']"
Sion,"['Akali', '57.6%']","['Gangplank', '56.0%']","['Jayce', '55.9%']","['Yasuo', '55.2%']","['Kennen', '55.0%']","['Malphite', '53.0%']"
Senna,"['Hwei', '66.9%']","['Swain', '56.5%']","['Alistar', '54.5%']","['Morgana', '53.9%']","['Lulu', '53.8%']","['Karma', '53.1%']"
Fiddlesticks,"[""Rek'Sai"", '55.4%']","['Viego', '55.3%']","['Warwick', '55.1%']","['Vi', '55.0%']","['Trundle', '54.1%']","['Ivern', '54.0%']"
Galio,"['Hwei', '60.9%']","['Cassiopeia', '59.0%']","['Diana', '57.1%']","['Akali', '57.1%']","['Annie', '56.3%']","['Lissandra', '55.4%']"
Yasuo,"['Hwei', '64.4%']","['Ryze', '54.7%']","['Lux', '51.5%']","['Irelia', '51.3%']","['Sylas', '51.2%']","['Syndra', '51.0%']"
Elise,"['Shyvana', '57.8%']","['Sylas', '53.9%']","['Warwick', '53.7%']","['Vi', '53.4%']","['Master Yi', '53.1%']","['Jarvan IV', '53.0%']"
