championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Aatrox,"['Vayne', '45.2%']","['Singed', '45.2%']","['Riven', '47.1%']","['Warwick', '47.4%']","['Irelia', '47.5%']","['Kayle', '47.9%']"
Malphite,"['Sylas', '43.7%']","['Dr. Mundo', '45.3%']","['Tahm Kench', '45.4%']","['Ornn', '46.2%']","['Shen', '47.1%']","[""Cho'Gath"", '47.2%']"
Nasus,"['Sylas', '44.7%']","['Tahm Kench', '46.0%']","['Olaf', '47.1%']","['Shen', '48.1%']","['Illaoi', '48.1%']","['Rumble', '48.3%']"
Samira,"['Nilah', '45.4%']","['Seraphine', '46.7%']","['Ziggs', '47.4%']","['Jinx', '47.8%']","[""Kog'Maw"", '48.1%']","['Xayah', '48.2%']"
Ahri,"['Brand', '45.1%']","['Aurelion Sol', '46.1%']","['Talon', '46.4%']","['Annie', '46.8%']","['Akshan', '46.9%']","['Neeko', '47.1%']"
Miss Fortune,"['Jhin', '48.2%']","['Twitch', '48.3%']","[""Kog'Maw"", '48.8%']","['Yasuo', '48.9%']","['Ziggs', '49.1%']","['Ashe', '49.2%']"
Swain,"['Soraka', '43.3%']","[""Vel'Koz"", '43.8%']","['Neeko', '44.6%']","['Milio', '45.0%']","['Senna', '45.4%']","['Janna', '45.5%']"
Lee Sin,"['Ivern', '46.0%']","['Lillia', '46.4%']","['Rammus', '46.7%']","['Gragas', '47.5%']","['Nocturne', '47.6%']","['Shaco', '47.7%']"
Fiora,"['Rengar', '45.8%']","['Riven', '46.7%']","['Vayne', '46.8%']","['Urgot', '47.2%']","['Volibear', '48.3%']","['Warwick', '48.3%']"
Jhin,"['Seraphine', '47.5%']","['Vayne', '48.1%']","['Twitch', '48.9%']","['Draven', '49.7%']","['Yasuo', '50.0%']","['Kalista', '50.5%']"
Amumu,"['Zac', '44.3%']","['Ivern', '44.4%']","['Xin Zhao', '45.1%']","['Lillia', '45.9%']","['Graves', '46.6%']","['Rengar', '46.7%']"
Illaoi,"['Varus', '43.8%']","['Mordekaiser', '45.8%']","['Poppy', '46.1%']","['Gwen', '46.4%']","['Warwick', '47.0%']","['Yorick', '47.1%']"
K'Sante,"['Garen', '44.9%']","['Camille', '45.7%']","['Gwen', '45.8%']","['Fiora', '46.7%']","['Kayle', '46.9%']","['Singed', '46.9%']"
Ekko,"['Evelynn', '45.8%']","['Maokai', '47.3%']","[""Rek'Sai"", '47.4%']","['Kindred', '47.7%']","['Master Yi', '48.6%']","['Shaco', '48.6%']"
Aurelion Sol,"['Fizz', '44.0%']","['Qiyana', '44.3%']","['Talon', '46.3%']","['Irelia', '46.6%']","['Taliyah', '46.9%']","['Akshan', '47.5%']"
