championName,worstAgainst1,worstAgainst2,worstAgainst3,worstAgainst4,worstAgainst5,worstAgainst6
Poppy,"['Ivern', '40.6%']","['Trundle', '41.9%']","['Udyr', '43.8%']","['Nocturne', '44.4%']","['Taliyah', '44.5%']","['Gragas', '46.0%']"
Karma,"['Sona', '44.3%']","['Maokai', '44.6%']","['Pyke', '44.8%']","['Sylas', '45.5%']","['Rakan', '46.3%']","['Janna', '46.4%']"
Dr. Mundo,"['Kled', '43.2%']","['Warwick', '43.4%']","['Kayle', '45.3%']","['Tryndamere', '45.4%']","['Olaf', '45.5%']","['Trundle', '45.9%']"
Mordekaiser,"['Vayne', '40.3%']","['Singed', '45.0%']","['Olaf', '45.1%']","['Yone', '45.6%']","['Poppy', '46.1%']","['Varus', '46.1%']"
Shaco,"['Trundle', '46.7%']","['Karthus', '46.9%']","['Talon', '47.0%']","['Briar', '47.7%']","['Hecarim', '47.9%']","['Graves', '48.3%']"
Akshan,"['Malphite', '46.5%']","['Ekko', '47.0%']","['Naafiri', '47.9%']","['Galio', '48.5%']","['Yasuo', '49.1%']","['Cassiopeia', '49.1%']"
Nidalee,"['Gragas', '46.3%']","['Xin Zhao', '46.5%']","['Briar', '47.2%']","['Rammus', '47.4%']","[""Bel'Veth"", '47.4%']","['Rengar', '47.4%']"
Draven,"['Seraphine', '45.3%']","['Swain', '46.1%']","[""Kog'Maw"", '46.5%']","['Miss Fortune', '47.7%']","['Ziggs', '47.8%']","['Ezreal', '48.3%']"
Azir,"['Qiyana', '41.3%']","['Brand', '42.4%']","['Naafiri', '42.6%']","['Xerath', '43.3%']","['Diana', '43.9%']","['Ziggs', '44.2%']"
Zoe,"['Kassadin', '44.4%']","['Anivia', '44.4%']","['Lissandra', '45.9%']","['Naafiri', '46.1%']","['Annie', '46.1%']","['Tristana', '46.3%']"
Diana,"['Ivern', '43.4%']","['Udyr', '44.9%']","['Trundle', '45.3%']","['Evelynn', '45.7%']","['Rammus', '45.9%']","['Briar', '46.9%']"
Nami,"['Maokai', '46.9%']","['Zyra', '47.3%']","['Sona', '47.9%']","['Blitzcrank', '47.9%']","['Milio', '48.6%']","['Bard', '49.0%']"
Katarina,"['Vladimir', '44.2%']","['Cassiopeia', '45.4%']","['Fizz', '45.6%']","['Zoe', '46.4%']","['Ryze', '47.2%']","['Kassadin', '47.2%']"
Twitch,"['Vayne', '48.8%']","['Yasuo', '49.0%']","['Nilah', '49.0%']","['Kalista', '49.8%']","['Lucian', '50.0%']","['Tristana', '50.3%']"
Qiyana,"['Malphite', '37.8%']","['Swain', '44.2%']","['Akshan', '44.8%']","['Diana', '44.9%']","['Taliyah', '45.3%']","['Jayce', '45.8%']"
