,total,ashe,blitzcrank,ezreal,kaisa,kalista,sivir
ezreal,"[1, 3, '33.33%', '23.08%']","[0, 1, '0.00%', '20.00%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, '0.00%', '100.00%']","[1, 1, '100.00%', '7.69%']","[0, 0, 0, 0]"
samira,"[0, 1, '0.00%', '12.50%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 1, '0.00%', '12.50%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
varus,"[1, 1, '100.00%', '8.33%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, '100.00%', '8.33%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]"
vayne,"[1, 1, '100.00%', '11.11%']","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[0, 0, 0, 0]","[1, 1, '100.00%', '11.11%']"
xayah,"[4, 7, '57.14%', '63.64%']","[0, 0, 0, 0]","[1, 1, '100.00%', '9.09%']","[1, 1, '100.00%', '50.00%']","[2, 5, '40.00%', '50.00%']","[0, 0, 0, 0]","[0, 0, 0, 0]"
